名称,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,24时,25时,26时,27时,28时,29时,质量差计数,缺失数据计数
学1栋1342室电表,0.06,0.05,0.1,0.05,0.07,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.24,0.07,0.04,0.05,0.24,0.62,0.32,0.04,0.06,0.78,0.8,0.59,0.56,0.58,0.56,0.62,0.52,0,0
学1栋1411室电表,0.82,0,0.73,0.06,0.55,0,0.49,0,0.24,0,0.01,0,0.01,0,0.07,0,0.14,0,0.82,0,0.17,0,0.42,0,0.24,0,0.96,0,0.88,0,0,0
学1栋1416室电表,0.35,0,0.18,0.01,0.17,0,0.18,0,0.18,0.01,0.15,0,0.69,0,0.43,0,0.37,0,0.38,0,0.32,0,0.95,0,0.2,0,0.09,0,0.08,0,0,0
学1栋1417室电表,0.72,0,0.07,0,0.04,0,0.03,0,0.1,0.01,0.06,0,0.4,0,0.64,0,0.35,0,0.78,0,1.54,0,1.07,0,0.53,0,0.09,0,0.05,0,0,0
学1栋1418室电表,0.33,0,0.19,0,0.19,0,0.19,0,0.23,0.01,0.2,0,0.19,0,0.4,0.04,0.27,0,0.28,0,0.46,0,0.94,0,0.53,0,0.17,0,0.16,0,0,0
学1栋1419室电表,1,0,0.2,0.01,0.09,0,0.09,0,0.27,0.06,0.58,0,0.47,0,0.33,0.02,0.23,0,0.64,0,0.56,0,0.96,0,0.68,0,0.11,0,0.06,0,0,0
学1栋1420室电表,0.18,0,0.04,0,0.05,0,0.03,0,0.48,0.04,0.48,0,0.44,0,0.37,0.03,0.34,0,0.43,0,0.8,0,0.9,0,0.46,0,0.21,0,0.02,0,0,0
学1栋1421室电表,0.67,0,0.16,0,0.15,0,0.13,0,0.19,0,0.18,0,0.34,0,0.33,0.02,0.63,0,0.64,0,0.61,0,0.54,0,0.52,0,0.25,0,0.15,0,0,0
学1栋1422室电表,0.95,0,0.43,0,0.07,0,0.07,0,0.39,0,0.67,0,0.15,0,0.33,0.04,0.36,0,0.28,0,0.49,0,0.59,0,0.59,0,0.05,0,0.03,0,0,0
学1栋1423室电表,0.4,0,0.09,0,0.03,0,0.02,0,0.05,0,0,0,0.06,0,0.87,0.01,0.71,0,1.18,0,0.28,0.17,1.04,0,0.11,0,0.03,0,0.02,0,0,0
学1栋1425室电表,0,0.64,0,0.41,0,0.26,0,0.27,0,0.09,0,0.06,0,0.66,0,0.83,0,0.95,0,0.72,0,1.04,0,1.32,0,0.78,0,0.4,0,0.24,0,0
学1栋1426室电表,0,0.55,0,0.28,0,0.25,0,0.27,0,0.64,0,1.06,0,1,0,0.69,0,0.41,0,0.47,0,0.84,0,0.9,0,0.51,0,0.52,0,0.48,0,0
学1栋1427室电表,0,0.48,0,0.08,0,0.03,0,0.06,0,0.17,0,0.59,0,0.66,0,0.46,0,0.35,0,1.21,0,1.09,0,0.81,0,0.39,0,0.06,0,0.03,0,0
