名称,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,24时,25时,26时,27时,28时,29时,质量差计数,缺失数据计数
学2栋2323室电表,0.67,0.14,0.05,0.02,0.03,0.06,0.07,0.07,0.07,0.07,0.07,0.4,0.47,0.34,0.17,0.09,0.09,0.1,0.11,0.27,0.39,1.01,1.14,0.83,0.37,0.2,0.05,0.04,0.38,0.28,0,0
学2栋2325室电表,0.62,0.4,0.12,0.06,0.01,0.03,0.01,0.02,0.03,0.13,0.16,0.14,0.13,0.35,0.22,0.1,0.34,0.2,0.21,0.47,0.36,0.38,0.45,0.55,0.35,0.37,0.28,0.47,0.11,0.02,0,0
学2栋2326室电表,0.49,0.33,0.08,0.06,0.06,0.05,0.06,0.09,0.06,0.1,0.13,0.22,0.14,0.76,0.46,0.09,0.1,0.09,0.1,0.44,0.54,0.5,0.56,0.52,0.68,0.4,0.11,0.08,0.08,0.07,0,0
学2栋2327室电表,0.46,0.33,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.1,0.05,0.02,0.05,0.44,0.51,0.37,0.36,0.36,0.37,0.42,0.34,0.32,0.47,0.61,0.54,0.31,0.05,0.03,0.03,0.01,0,0
学2栋2330室电表,0.47,0.24,0.11,0.07,0.12,0.09,0.01,0.02,0.02,0.29,0.46,0.12,0.08,0.32,0.32,0.4,0.24,0.07,0.13,0.73,0.78,0.58,0.35,0.6,0.58,0.33,0.14,0.07,0.05,0.02,0,0
学2栋2332室电表,0.48,0.26,0.06,0.04,0.04,0.04,0.03,0.04,0.03,0.28,0.41,0.23,0.16,0.6,0.5,0.17,0.12,0.09,0.13,0.86,0.68,0.56,0.55,0.57,0.59,0.23,0.12,0.12,0.11,0.1,0,0
学2栋2336室电表,0.05,0.09,0.18,0.14,0.16,0.17,0.19,0.07,0.03,0.05,0.02,0.02,0.01,0.04,0.07,0.39,0.35,0.29,0.26,0.35,0.29,0.41,0.3,0.07,0.1,0.07,0.05,0.03,0.02,0.02,0,0
学2栋2340室电表,0.34,0.12,0.05,0.04,0.01,0.02,0.01,0.01,0.02,0.01,0,0.06,0.18,0.32,0.4,0.28,0.19,0.31,0.34,0.35,0.36,0.46,0.43,0.53,0.42,0.15,0.05,0.02,0.03,0.01,0,0
学2栋2342室电表,0.47,0.37,0.32,0.12,0.12,0.11,0.11,0.13,0.06,0.04,0.03,0.05,0.03,0.16,0.37,0.66,0.66,0.61,0.64,0.75,0.58,0.53,0.43,0.4,0.33,0.2,0.08,0.05,0.03,0.04,0,0
学2栋2403室电表,0.74,0,0.12,0.12,0.02,0.02,0.025,0.025,0.135,0.135,0.42,0.42,0.49,0.49,0.34,0.34,0.59,0.59,0.915,0.915,0.755,0.755,1.21,1.21,0.4,0.4,0.125,0.125,0.06,0.06,15,0
学2栋2405室电表,0.39,0,0.075,0.075,0.075,0.075,0.08,0.08,0.105,0.105,0.275,0.275,0.31,0.31,0.185,0.185,0.365,0.365,0.485,0.485,0.465,0.465,0.43,0.43,0.325,0.325,0.04,0.04,0.01,0.01,15,0
学2栋2407室电表,0.17,0.12,0.09,0.07,0.08,0.1,0.06,0.08,0.06,0.13,0.13,0.19,0.24,0.55,0.21,0.09,0.06,0.07,0.16,0.36,0.68,0.53,0.48,0.44,0.35,0.31,0.11,0.08,0.07,0.1,0,0
学2栋2408室电表,0.39,0.36,0.26,0.13,0.09,0.09,0.07,0.07,0.08,0.15,0.18,0.19,0.13,0.23,0.13,0.11,0.11,0.2,0.19,0.36,0.35,0.42,0.31,0.6,0.39,0.24,0.15,0.15,0.16,0.17,0,0
学2栋2409室电表,0.25,0,0.045,0.045,0.045,0.045,0.055,0.055,0.06,0.06,0.04,0.04,0.2,0.2,0.23,0.23,0.215,0.215,0.205,0.205,0.39,0.39,0.375,0.375,0.09,0.09,0.05,0.05,0.07,0.07,15,0
学2栋2410室电表,1.03,0,0.205,0.205,0.17,0.17,0.17,0.17,0.205,0.205,0.33,0.33,0.26,0.26,0.195,0.195,0.335,0.335,0.35,0.35,0.405,0.405,0.55,0.55,0.465,0.465,0.23,0.23,0.135,0.135,15,0
学2栋2412室电表,0.19,0,0.055,0.055,0.045,0.045,0.005,0.005,0.065,0.065,0.055,0.055,0.215,0.215,0.155,0.155,0.115,0.115,0.205,0.205,0.415,0.415,0.46,0.46,0.145,0.145,0.075,0.075,0.02,0.02,15,0
学2栋2413室电表,0.43,0,0.05,0.05,0.035,0.035,0.04,0.04,0.04,0.04,0.035,0.035,0.215,0.215,0.4,0.4,0.105,0.105,0.155,0.155,0.45,0.45,0.535,0.535,0.14,0.14,0.055,0.055,0.04,0.04,15,0
学2栋2416室电表,0.59,0,0.045,0.045,0.015,0.015,0.02,0.02,0.105,0.105,0.265,0.265,0.535,0.535,0.1,0.1,0.02,0.02,0.285,0.285,0.495,0.495,0.455,0.455,0.145,0.145,0.015,0.015,0.01,0.01,15,0
学2栋2417室电表,0.75,0,0.055,0.055,0.05,0.05,0.05,0.05,0.11,0.11,0.255,0.255,0.285,0.285,0.16,0.16,0.135,0.135,0.505,0.505,0.485,0.485,0.565,0.565,0.2,0.2,0.09,0.09,0.25,0.25,15,0
学2栋2418室电表,1.01,0,0.035,0.035,0.015,0.015,0.01,0.01,0.12,0.12,0.305,0.305,0.19,0.19,0.155,0.155,0.06,0.06,0.515,0.515,0.915,0.915,0.85,0.85,0.425,0.425,0.16,0.16,0.055,0.055,15,0
学2栋2421室电表,0.67,0,0.035,0.035,0.01,0.01,0.01,0.01,0.015,0.015,0.02,0.02,0.07,0.07,0.05,0.05,0.01,0.01,0.56,0.56,0.75,0.75,0.65,0.65,0.735,0.735,0.595,0.595,0.12,0.12,15,0
学2栋2422室电表,1.48,0,0.405,0.405,0.375,0.375,0.4,0.4,0.355,0.355,0.255,0.255,0.52,0.52,0.52,0.52,0.575,0.575,0.975,0.975,0.835,0.835,0.925,0.925,0.635,0.635,0.09,0.09,0.045,0.045,15,0
学2栋2423室电表,0.58,0,0.025,0.025,0.02,0.02,0.02,0.02,0.015,0.015,0,0,0.15,0.15,0.385,0.385,0.39,0.39,0.48,0.48,0.575,0.575,0.635,0.635,0.245,0.245,0.05,0.05,0.02,0.02,15,0
学2栋2425室电表,,0.02,0.02,0.015,0.015,0.02,0.02,0.02,0.02,0.025,0.025,0.015,0.015,0.36,0.36,0.47,0.47,0.365,0.365,0.33,0.33,0.625,0.625,0.505,0.505,0.045,0.045,0.04,0.04,0,15,0
学2栋2428室电表,,0.205,0.205,0.12,0.12,0.115,0.115,0.09,0.09,0.035,0.035,0.04,0.04,0.475,0.475,0.28,0.28,0.295,0.295,0.46,0.46,0.77,0.77,0.495,0.495,0.065,0.065,0.05,0.05,0,15,0
学2栋2430室电表,,0.435,0.435,0.36,0.36,0.28,0.28,0.225,0.225,0.04,0.04,0.06,0.06,0.285,0.285,0.11,0.11,0.16,0.16,0.27,0.27,0.67,0.67,0.85,0.85,0.47,0.47,0.415,0.415,0,15,0
学2栋2432室电表,,0.045,0.045,0.005,0.005,0.01,0.01,0.025,0.025,0.16,0.16,0.105,0.105,0.255,0.255,0.005,0.005,0.045,0.045,0.505,0.505,0.46,0.46,0.37,0.37,0.045,0.045,0.005,0.005,0,15,0
学2栋2436室电表,,0.13,0.13,0.08,0.08,0.07,0.07,0.075,0.075,0.095,0.095,0.075,0.075,0.09,0.09,0.02,0.02,0.055,0.055,0.25,0.25,0.48,0.48,0.5,0.5,0.405,0.405,0.405,0.405,0,15,0
学2栋2438室电表,,0.105,0.105,0.075,0.075,0.08,0.08,0.075,0.075,0.14,0.14,0.065,0.065,0.095,0.095,0.045,0.045,0.09,0.09,0.355,0.355,0.315,0.315,0.645,0.645,0.08,0.08,0.065,0.065,0,15,0
学2栋2440室电表,,0.215,0.215,0.025,0.025,0.02,0.02,0.015,0.015,0.13,0.13,0.015,0.015,0.075,0.075,0.145,0.145,0.3,0.3,0.45,0.45,0.515,0.515,0.46,0.46,0.32,0.32,0.035,0.035,0,15,0
学2栋2442室电表,,0.075,0.075,0.02,0.02,0.02,0.02,0.03,0.03,0.09,0.09,0.025,0.025,0.03,0.03,0.13,0.13,0.22,0.22,0.415,0.415,0.44,0.44,0.425,0.425,0.13,0.13,0.055,0.055,0,15,0
学2栋2505室电表,0.33,0.33,0.23,0.27,0.05,0.07,0.04,0.05,0.05,0.01,0,0,0,0.23,0.25,0.18,0.15,0.22,0.26,0.32,0.41,0.32,0.51,0.54,0.58,0,0.52,0.43,0.42,0.39,0,0
学2栋2506室电表,0.43,0.19,0.2,0.17,0.02,0.02,0.01,0.43,0.05,0.01,0.01,0.02,0.01,0.5,0.33,0.19,0.31,0.13,0.13,0.17,0.33,0.74,0.71,0.49,1.16,0,0.24,0.05,0.02,0.02,0,0
学2栋2507室电表,0.14,0.06,0.07,0.09,0.1,0.07,0.05,0.05,0.06,0.04,0.04,0.04,0.07,0.33,0.33,0.34,0.33,0.28,0.07,0.08,0.13,0.1,0.09,0.08,0.33,0,0.09,0.5,0.59,0.6,0,0
学2栋2508室电表,0.38,0.43,0.3,0.4,0.37,0.38,0.37,0.35,0.38,0.18,0.16,0.14,0.14,0.34,0.52,0.3,0.23,0.24,0.51,0.4,0.59,0.53,0.77,0.85,1.22,0,0.79,0.5,0.39,0.34,0,0
学2栋2509室电表,0.47,0.27,0.16,0.16,0.15,0.14,0.14,0.13,0.1,0.06,0.06,0.05,0.06,0.46,0.38,0.43,0.22,0.14,0.16,0.29,0.89,0.81,0.74,0.71,0.94,0,0.19,0.06,0.07,0.04,0,0
学2栋2511室电表,0.26,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0,0.01,0.01,0,0.48,0.52,0.49,0.38,0.17,0.06,0.06,0.24,0.56,0.43,0.59,0.59,0,0.28,0.35,0.29,0.25,0,0
学2栋2512室电表,0.08,0.08,0.09,0.08,0.06,0.04,0.05,0.06,0.03,0.01,0.01,0.01,0.01,0.22,0.26,0.19,0.18,0.19,0.53,0.44,0.3,0.28,0.4,0.24,0.23,0,0.07,0.07,0.05,0.05,0,0
学2栋2513室电表,0.32,0.05,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.15,0.22,0.02,0.02,0.1,0.47,0.45,0.68,1.06,1.08,1.06,1.4,0,0.6,0.48,0.46,0.48,0,0
学2栋2517室电表,0.53,0.24,0.15,0.03,0.03,0.05,0.02,0.01,0.04,0.04,0.03,0.3,0.69,0.57,0.31,0.07,0.11,0.1,0.13,0.83,1.03,1.15,0.78,0.61,0.58,0,0.16,0.05,0.04,0.04,0,0
学2栋2518室电表,0.76,0.34,0.13,0.13,0.12,0.12,0.12,0.11,0.14,0.14,0.12,0.21,0.35,0.84,0.75,0.85,0.67,0.73,0.75,0.79,1.09,1.27,1.38,1.16,1.65,0,0.26,0.11,0.1,0.1,0,0
学2栋2519室电表,0.07,0.09,0.1,0.14,0.1,0.1,0.08,0.07,0.06,0.09,0.26,0.3,0.04,0.11,0.25,0.14,0.11,0.15,0.67,0.39,0.24,0.39,0.41,0.26,0.23,0,0.06,0.07,0.05,0.05,0,0
学2栋2520室电表,0.35,0.12,0.04,0.05,0.04,0.04,0.03,0.04,0.05,0.03,0.02,0.56,1.02,0.52,0.47,0.08,0.07,0.29,0.71,0.7,0.81,1.14,0.9,0.9,1.29,0,0.35,0.17,0.06,0.06,0,0
学2栋2522室电表,0.72,0.48,0.06,0.06,0.06,0.06,0.05,0.06,0.08,0.03,0.04,0.47,0.43,0.16,0.1,0.09,0.04,0.22,0.58,0.73,0.8,0.77,0.54,0.55,0.53,0,0.03,0.03,0.02,0.03,0,0
学2栋2525室电表,0.13,0.07,0.07,0.05,0.05,0.04,0.05,0.04,0.03,0.08,0.19,0.18,0.06,0.12,0.15,0.16,0.12,0.15,0.19,0.33,0.32,0.41,0.35,0.31,0.25,0.34,0,0.19,0.03,0.02,0,0
学2栋2526室电表,0.86,0.71,0.52,0.57,0.51,0.49,0.48,0.48,0.54,0.56,0.46,0.44,0.43,0.65,0.75,0.57,0.48,0.51,0.83,0.68,0.59,0.86,1.03,0.84,0.77,1.39,0,0.89,0.74,0.63,0,0
学2栋2527室电表,0.21,0.16,0.08,0.06,0.12,0.13,0.15,0.15,0.16,0.1,0.07,0.19,0.3,0.26,0.27,0.2,0.09,0.07,0.08,0.14,0.36,0.36,0.3,0.09,0.1,0.15,0,0.06,0.03,0.05,0,0
学2栋2529室电表,0.1,0.13,0.13,0.11,0.12,0.1,0.1,0.1,0.12,0.13,0.07,0.28,0.33,0.37,0.28,0.13,0.09,0.36,0.28,0.61,0.35,0.41,0.44,0.61,0.11,0.19,0,0.07,0.09,0.08,0,0
学2栋2532室电表,0.34,0.13,0.11,0.11,0.12,0.09,0.1,0.31,0.12,0.25,0.15,0.27,0.46,0.32,0.3,0.29,0.23,0.21,0.41,0.31,0.22,0.58,0.32,0.54,0.29,0.31,0,0.11,0.05,0.07,0,0
学2栋2538室电表,0.18,0.13,0.13,0.12,0.14,0.12,0.11,0.12,0.18,0.22,0.14,0.21,0.3,0.47,0.25,0.22,0.06,0.02,0.01,0.1,0.51,0.71,0.77,0.34,0.18,0.22,0,0.08,0.06,0.07,0,0
学2栋2542室电表,0.46,0.27,0.1,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.38,0.46,0.6,0.49,0.21,0.05,0.24,0.2,0.2,0.25,0.41,0.31,0.61,0.73,0.61,0,0.06,0.05,0.04,0,0
学3栋3105室电表,0.25,0.13,0.07,0.02,0.02,0.04,0.03,0.03,0.14,0.08,0.03,0.02,0.02,0.24,0.31,0.21,0.14,0.16,0.23,0.14,0.02,0.17,0.43,0.38,0.33,0.32,0.17,0.13,0.04,0.02,0,0
学3栋3110室电表,0.02,0.01,0,0.04,0.05,0.04,0.04,0.03,0.03,0.01,0.01,0.03,0.1,0.31,0.32,0.34,0.16,0.04,0.34,0.36,0.6,0.39,0.36,0.36,0.24,0.03,0.02,0.01,0,0.01,0,0
学3栋3113室电表,0.29,0.1,0.04,0.2,0.03,0.03,0.03,0.04,0.13,0.09,0.03,0.27,0.41,0.42,0.44,0.47,0.48,0.39,0.3,0.21,0.37,0.32,0.29,0.49,0.39,0.23,0.17,0.07,0.05,0.04,0,0
学3栋3123室电表,0.43,0.43,0.03,0.02,0.01,0.01,0.01,0.02,0.05,0.01,0.01,0.01,0,0.32,0.41,0.04,0.03,0.03,0.53,0.3,0.07,0.33,0.32,0.49,0.45,0.39,0.18,0.05,0.05,0.04,0,0
学3栋3201室电表,0.19,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.08,0.05,0.07,0.05,0.27,0.34,0.25,0.15,0.07,0.14,0.14,0.08,0.17,0.46,0.4,0.34,0.15,0.05,0.04,0.04,0.04,0,0
学3栋3207室电表,0.61,0.18,0.01,0.03,0.02,0.01,0.01,0.03,0.01,0.02,0,0.02,0.34,0.58,0.51,0.6,0.52,0.68,0.77,0.74,0.71,0.68,0.56,0.53,0.27,0.02,0.03,0.01,0.01,0.02,0,0
学3栋3208室电表,0.21,0.15,0.14,0.16,0.14,0.14,0.13,0.14,0.15,0.16,0.14,0.13,0.18,0.66,0.72,0.29,0.24,0.27,0.24,0.29,0.2,0.3,0.55,0.47,0.81,0.75,0.69,0.52,0.41,0.39,0,0
学3栋3211室电表,0.35,0.25,0.06,0.04,0.04,0.02,0.02,0.03,0.04,0.02,0.03,0.16,0.17,0.15,0.19,0.14,0.12,0.11,0.13,0.24,0.44,0.57,0.44,0.63,0.76,0.42,0.25,0.28,0.24,0.17,0,0
学3栋3212室电表,0.28,0.19,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.05,0.09,0.01,0.01,0.23,0.36,0.09,0.09,0.58,0.51,0.48,0.7,0.81,0.67,0.71,0.52,0.05,0.02,0.02,0.01,0.02,0,0
学3栋3216室电表,0.11,0.04,0.08,0.11,0.09,0.1,0.09,0.09,0.07,0.03,0.01,0,0.02,0.23,0.3,0.01,0.04,0.01,0.11,0.63,0.47,0.55,0.48,0.56,0.53,0.56,0.5,0.46,0.25,0.17,0,0
学3栋3220室电表,0.43,0.32,0.05,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0,0.3,0.12,0.02,0.02,0.01,0,0.01,0.11,0.36,0.46,0.52,0.44,0.43,0.42,0.4,0.07,0.03,0.01,0.01,0,0
学3栋3225室电表,0.63,0.2,0.02,0.03,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.05,0.06,0.01,0.03,0.04,0.19,0.5,0.56,0.77,0.89,0.88,0.75,0.59,0.52,0.13,0.02,0.02,0,0
学3栋3230室电表,0.33,0.11,0.02,0.01,0.01,0,0.01,0.01,0.03,0.14,0.04,0.23,0.26,0.19,0.17,0.18,0.15,0.16,0.26,0.36,0.2,0.23,0.26,0.22,0.22,0.11,0.08,0.08,0.04,0.04,0,0
学3栋3231室电表,0.35,0.25,0.17,0,0.02,0.01,0,0.01,0.01,0.04,0.01,0,0.01,0.07,0.37,0.48,0.31,0.23,0.1,0.42,0.54,0.82,0.38,0.54,0.53,0.23,0.02,0.03,0.03,0.02,0,0
学3栋3237室电表,0.53,0.26,0.01,0.01,0.02,0.03,0.01,0.01,0.03,0.11,0.23,0.15,0.14,0.38,0.42,0.4,0.45,0.21,0.34,0.61,0.53,0.77,0.66,0.69,0.51,0.14,0.01,0.02,0.01,0,0,0
学3栋3238室电表,0.57,0.29,0.29,0.07,0.08,0.02,0.02,0.03,0.02,0.1,0.12,0.08,0.04,0.08,0.07,0.05,0.08,0.05,0.09,0.18,0.34,0.42,0.32,0.3,0.29,0.13,0.11,0.27,0.08,0.03,0,0
学3栋3239室电表,1.14,1.15,1.3,0.83,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.17,0.69,0.54,0.72,0.89,0.91,0.99,1.2,1.13,0.24,0.03,0.02,0.03,0.02,0.02,0,0
学3栋3240室电表,0.39,0.3,0.21,0.02,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0,0.01,0.01,0.04,0.12,0.31,0.07,0.11,0.42,0.52,0.68,0.53,0.35,0.3,0.29,0.23,0.06,0.02,0.01,0,0
学3栋3242室电表,0.2,0.16,0.05,0.02,0.04,0.03,0.02,0.01,0.03,0.1,0.05,0.02,0.01,0.05,0.21,0.11,0.05,0.1,0.14,0.03,0.05,0.18,0.67,1.98,1.81,0.16,0.04,0.02,0.01,0,0,0
学3栋3246室电表,0.46,0.43,0.18,0.06,0.08,0.06,0.07,0.06,0.08,0.2,0.37,0.08,0.1,0.21,0.25,0.04,0.08,0.42,0.34,0.08,0.09,0.38,0.57,0.41,0.3,0.15,0.1,0.1,0.06,0.05,0,0
学3栋3302室电表,0.27,1.9,0.03,0.03,0.01,0.03,0.37,0.04,0.52,0.54,0.03,0.02,0.02,0.36,0.05,0.04,0.02,0.02,0.03,0.36,0.04,0.02,0.01,0.04,1.37,0.99,0.47,0,0.03,0.03,0,0
学3栋3329室电表,0.53,0.51,0.11,0.07,0.02,0,0.01,0.01,0.07,0.02,0.01,0,0.01,0.12,0.08,0,0,0.01,0.06,0.28,0.28,0.52,0.34,0.48,0.31,0.18,0.04,0.03,0,0.01,0,0
学3栋3331室电表,0.58,0.11,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.04,0.01,0.12,0.2,0.1,0.13,0.37,0.41,0.44,0.44,0.51,0.44,0.64,0.76,0.78,0.28,0.04,0.02,0.01,0,0
学3栋3335室电表,0.85,0.18,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.16,0.18,0.17,0.17,0.18,0.14,0.02,0.06,0.91,0.62,0.18,0.29,0.81,0.81,0.78,0.38,0.05,0.02,0.02,0.01,0.01,0,0
学3栋3337室电表,0.7,0.72,0.36,0.02,0.03,0.02,0.03,0.02,0.03,0.37,0.62,0.55,0.46,0.45,0.39,0.22,0.22,0.82,0.77,0.3,0.34,0.89,1,0.8,0.15,0.04,0.03,0.05,0.04,0.03,0,0
学3栋3339室电表,0.45,0.29,0.08,0.08,0.07,0.04,0.04,0.05,0.17,0.12,0.1,0.11,0.12,0.33,0.38,0.3,0.25,0.32,0.33,0.32,0.2,0.34,0.51,0.52,0.37,0.19,0.05,0.05,0.04,0.05,0,0
学3栋3346室电表,0.82,0.45,0.07,0.01,0.02,0.02,0.01,0.03,0.09,0.01,0.01,0.47,0.65,0.19,0.22,0.09,0.19,0.82,0.77,0.62,0.37,0.9,0.92,0.86,0.54,0.44,0.03,0.01,0.01,0.01,0,0
学3栋3421室电表,0.34,0.19,0.03,0.04,0.04,0.03,0.04,0.05,0.09,0.08,0.06,0.04,0.02,0.2,0.23,0.05,0.08,0.26,0.29,0.28,0.3,0.26,0.42,0.36,0.39,0.09,0.05,0.03,0.05,0.04,0,0
学3栋3425室电表,0.28,0.13,0.01,0.01,0.01,0.01,0.01,0.02,0.09,0.05,0.02,0.02,0.02,0.15,0.19,0.16,0.17,0.39,0.58,0.66,0.64,0.6,0.57,0.56,0.13,0.01,0.01,0.01,0.01,0,0,0
学3栋3431室电表,0.21,0.04,0.01,0.03,0.01,0.01,0.01,0,0.12,0.18,0.17,0.16,0.18,0.16,0.26,0.11,0.13,0.39,0.4,0.41,0.32,0.43,0.36,0.44,0.19,0.08,0.01,0.02,0.01,0.02,0,0
学3栋3432室电表,0.28,0.26,0.25,0.25,0.02,0.01,0.01,0.03,0.07,0.02,0.01,0,0,0.04,0.08,0.03,0.18,0.32,0.3,0.28,0.38,0.47,0.37,0.27,0.24,0.24,0.17,0,0.01,0.01,0,0
学3栋3433室电表,0.3,0.27,0.15,0.05,0.06,0.04,0.04,0.05,0.06,0.08,0.07,0.06,0.07,0.23,0.27,0.08,0.13,0.31,0.31,0.35,0.35,0.35,0.32,0.22,0.09,0.06,0.06,0.05,0.04,0.04,0,0
学3栋3440室电表,0.51,0.37,0.21,0.15,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.01,0.05,0.45,0.81,0.93,0.91,0.65,0.6,0.7,0.59,0.56,0.75,0.99,0.65,0.6,0.09,0.05,0.04,0.04,0,0
学3栋3442室电表,0.42,0.14,0.05,0.04,0.04,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.05,0.34,0.26,0.04,0.05,0.35,0.45,0.3,0.32,0.31,0.47,0.26,0.29,0.07,0.04,0.05,0.05,0.04,0,0
学3栋3448室电表,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.07,0.06,0.05,0.06,0.05,0.18,0.15,0.09,0.09,0.48,0.58,0.61,0.24,0.42,0.34,0.37,0.42,0.15,0.08,0.08,0.07,0.06,0,0
学3栋3506室电表,0.36,0.19,0.18,0.23,0.21,0.2,0.21,0.17,0.02,0.01,0,0.01,0.24,0.29,0.09,0.01,0,0,0.01,0.21,0.17,0.39,0.66,0.66,0.62,0.54,0.64,0.18,0,0.01,0,0
学3栋3509室电表,0.5,0.2,0.35,0.43,0.07,0.06,0.06,0.07,0.2,0.08,0.06,0.36,0.18,0.12,0.12,0.09,0.09,0.08,0.38,0.34,0.11,0.11,0.33,0.19,0.13,0.15,0.48,0.39,0.38,0.38,0,0
学3栋3512室电表,0.64,0.07,0.03,0.03,0.02,0.03,0.02,0.03,0.25,0.04,0.03,0.07,0.1,0.15,0.23,0.06,0.06,0.07,0.07,0.15,0.37,0.43,0.55,0.36,0.32,0.09,0.03,0.02,0.03,0.03,0,0
学3栋3513室电表,0.41,0.6,0.15,0.06,0.01,0.01,0.01,0.02,0.16,0.02,0,0.01,0,0.11,0.28,0.36,0.04,0.04,0.04,0.25,0.39,0.38,0.34,0.45,0.45,0.29,0.08,0.04,0.01,0.01,0,0
学3栋3517室电表,0.11,0.06,0.02,0.04,0.02,0.01,0.02,0.03,0.06,0.01,0.01,0.04,0.04,0.26,0.58,0.58,0.4,0.3,0.32,0.14,0.1,0.12,0.54,0.55,0.37,0.3,0.02,0.01,0.02,0.02,0,0
学3栋3519室电表,0.03,0.02,0.13,0.03,0.02,0.01,0.01,0.06,0.05,0.06,0.04,0.04,0.04,0.19,0.31,0.41,0.31,0.27,0.25,0.28,0.33,0.6,0.55,0.52,0.17,0.04,0.02,0.04,0.01,0.01,0,0
学3栋3520室电表,0.15,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.05,0.01,0,0.01,0,0.24,0.36,0.28,0.24,0.37,0.31,0.3,0.17,0.24,0.65,0.45,0.15,0.04,0.06,0.04,0.04,0.04,0,0
学3栋3522室电表,0.44,0.33,0.15,0.13,0.11,0.11,0.11,0.11,0.18,0.06,0.01,0,0.01,0.13,0.57,0.52,0.14,0.15,0.19,0.58,0.35,0.52,0.74,0.53,0.29,0.3,0.06,0.01,0.01,0.02,0,0
学3栋3526室电表,0.42,0.22,0.1,0.12,0.09,0.1,0.09,0.11,0.13,0.08,0.05,0.06,0.05,0.26,0.24,0.26,0.29,0.39,0.28,0.26,0.27,0.39,0.56,0.48,0.35,0.25,0.13,0.13,0.12,0.11,0,0
学3栋3527室电表,0.37,0.28,0.08,0.09,0.05,0.06,0.05,0.06,0.07,0.02,0,0.21,0.34,0.3,0.31,0.48,0.34,0.34,0.24,0.15,0.12,0.14,0.31,0.38,0.43,0.37,0.16,0.11,0.08,0.07,0,0
学3栋3532室电表,0.82,0.23,0.01,0.03,0.01,0.02,0.01,0.01,0.07,0.19,0.12,0.64,0.94,0.79,0.74,0.79,0.52,0.64,0.52,0.16,0.29,0.41,0.91,0.95,0.68,0.21,0.03,0.03,0.02,0.01,0,0
学3栋3535室电表,0.6,0.44,0.29,0.11,0.01,0.02,0.01,0.02,0.07,0.03,0.02,0.03,0.02,0.35,0.04,0.1,0.15,0.01,0.29,0.6,0.44,0.51,0.37,0.43,0.59,0.33,0.67,0.79,0.58,0.22,0,0
学3栋3537室电表,0.25,0.05,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0,0.01,0.01,0.74,0.49,0.36,0.11,0.01,0.01,0.64,0.41,0.51,0.5,0.45,0.31,0.36,0.35,0.57,0.02,0.01,0,0
学3栋3539室电表,0.16,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.05,0.04,0.2,0.24,0.54,0.35,0.12,0.13,0.83,0.4,0.61,0.62,0.7,0.35,0.04,0.02,0.03,0.02,0.02,0,0
学3栋3548室电表,0.33,0.28,0.14,0.04,0.02,0.01,0.01,0.01,0.07,0.08,0.07,0.06,0.07,0.13,0.07,0.02,0.02,0.01,0.23,0.13,0.17,0.16,0.38,0.55,0.35,0.51,0.13,0.11,0.08,0.09,0,0
学3栋3601室电表,0.63,0.16,0.13,0.44,0.13,0.02,0.02,0.02,0.17,0.01,0,0.02,0.5,0.48,0.32,0.22,0.2,0.16,0.15,0.3,0.71,0.8,0.88,0.79,0.83,0.59,0.71,0.51,0.03,0.03,0,0
学3栋3602室电表,0.25,0.03,0.01,0.02,0.03,0.25,0.03,0.01,0.03,0.01,0.27,0.02,0.01,0.03,0.01,0.27,0.02,0.02,0.02,0.01,0.29,1.98,1.09,0.05,0.26,0.04,0.22,0.03,0.01,0.02,0,0
学3栋3605室电表,0.38,0.2,0.11,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.06,0.05,0.42,0.35,0.22,0.04,0.05,0.32,0.2,0.27,0.36,0.31,0.38,0.27,0.02,0,0.01,0.01,0,0
学3栋3608室电表,0.16,0.07,0.03,0.03,0.02,0.01,0.02,0.02,0.11,0.4,0.12,0.08,0.08,0.21,0.2,0.47,0.42,0.11,0.11,0.18,0.25,0.59,0.47,0.41,0.24,0.08,0.06,0.04,0.02,0.02,0,0
